Время,Координата,Плотность,Вязкость,Давление
0,10000,800,1e-05,6e+06
0,20000,800,1e-05,5.66177e+06
0,30000,800,1e-05,5.32355e+06
0,40000,800,1e-05,4.98532e+06
0,50000,800,1e-05,4.64709e+06
0,60000,800,1e-05,4.30887e+06
0,70000,800,1e-05,3.97064e+06
0,80000,800,1e-05,3.63241e+06
0,90000,800,1e-05,3.29419e+06
5000,10000,800,1e-05,6e+06
5000,20000,800,1e-05,5.66177e+06
5000,30000,800,1e-05,5.32355e+06
5000,40000,800,1e-05,4.98532e+06
5000,50000,800,1e-05,4.64709e+06
5000,60000,800,1e-05,4.30887e+06
5000,70000,800,1e-05,3.97064e+06
5000,80000,800,1e-05,3.63241e+06
5000,90000,800,1e-05,3.29419e+06
10000,10000,800,1e-05,6e+06
10000,20000,800,1e-05,5.66177e+06
10000,30000,800,1e-05,5.32355e+06
10000,40000,800,1e-05,4.98532e+06
10000,50000,800,1e-05,4.64709e+06
10000,60000,800,1e-05,4.30887e+06
10000,70000,800,1e-05,3.97064e+06
10000,80000,800,1e-05,3.63241e+06
10000,90000,800,1e-05,3.29419e+06
15000,10000,800,1e-05,6e+06
15000,20000,800,1e-05,5.66177e+06
15000,30000,800,1e-05,5.32355e+06
15000,40000,800,1e-05,4.98532e+06
15000,50000,800,1e-05,4.64709e+06
15000,60000,800,1e-05,4.30887e+06
15000,70000,800,1e-05,3.97064e+06
15000,80000,800,1e-05,3.63241e+06
15000,90000,800,1e-05,3.29419e+06
20000,10000,800,1e-05,6e+06
20000,20000,800,1e-05,5.58144e+06
20000,30000,800,1e-05,5.24322e+06
20000,40000,800,1e-05,4.90499e+06
20000,50000,800,1e-05,4.56676e+06
20000,60000,800,1e-05,4.22854e+06
20000,70000,800,1e-05,3.89031e+06
20000,80000,800,1e-05,3.55208e+06
20000,90000,800,1e-05,3.21386e+06
25000,10000,990,1.9e-05,6e+06
25000,20000,800,1e-05,5.51555e+06
25000,30000,800,1e-05,5.097e+06
25000,40000,800,1e-05,4.75877e+06
25000,50000,800,1e-05,4.42054e+06
25000,60000,800,1e-05,4.08232e+06
25000,70000,800,1e-05,3.74409e+06
25000,80000,800,1e-05,3.40586e+06
25000,90000,800,1e-05,3.06764e+06
30000,10000,990,1.9e-05,6e+06
30000,20000,990,1.9e-05,5.51555e+06
30000,30000,800,1e-05,5.03111e+06
30000,40000,800,1e-05,4.61255e+06
30000,50000,800,1e-05,4.27432e+06
30000,60000,800,1e-05,3.9361e+06
30000,70000,800,1e-05,3.59787e+06
30000,80000,800,1e-05,3.25964e+06
30000,90000,800,1e-05,2.92142e+06
35000,10000,990,1.9e-05,6e+06
35000,20000,990,1.9e-05,5.51555e+06
35000,30000,990,1.9e-05,5.03111e+06
35000,40000,800,1e-05,4.54666e+06
35000,50000,800,1e-05,4.12811e+06
35000,60000,800,1e-05,3.78988e+06
35000,70000,800,1e-05,3.45165e+06
35000,80000,800,1e-05,3.11342e+06
35000,90000,800,1e-05,2.7752e+06
40000,10000,990,1.9e-05,6e+06
40000,20000,990,1.9e-05,5.60853e+06
40000,30000,990,1.9e-05,5.12408e+06
40000,40000,990,1.9e-05,4.63964e+06
40000,50000,800,1e-05,4.15519e+06
40000,60000,800,1e-05,3.73663e+06
40000,70000,800,1e-05,3.39841e+06
40000,80000,800,1e-05,3.06018e+06
40000,90000,800,1e-05,2.72195e+06
45000,10000,800,1e-05,6e+06
45000,20000,990,1.9e-05,5.66177e+06
45000,30000,990,1.9e-05,5.2703e+06
45000,40000,990,1.9e-05,4.78585e+06
45000,50000,990,1.9e-05,4.30141e+06
45000,60000,800,1e-05,3.81696e+06
45000,70000,800,1e-05,3.39841e+06
45000,80000,800,1e-05,3.06018e+06
45000,90000,800,1e-05,2.72195e+06
50000,10000,800,1e-05,6e+06
50000,20000,800,1e-05,5.66177e+06
50000,30000,990,1.9e-05,5.32355e+06
50000,40000,990,1.9e-05,4.93207e+06
50000,50000,990,1.9e-05,4.44763e+06
50000,60000,990,1.9e-05,3.96318e+06
50000,70000,800,1e-05,3.47874e+06
50000,80000,800,1e-05,3.06018e+06
50000,90000,800,1e-05,2.72195e+06
55000,10000,800,1e-05,6e+06
55000,20000,800,1e-05,5.66177e+06
55000,30000,800,1e-05,5.32355e+06
55000,40000,990,1.9e-05,4.98532e+06
55000,50000,990,1.9e-05,4.59385e+06
55000,60000,990,1.9e-05,4.1094e+06
55000,70000,990,1.9e-05,3.62495e+06
55000,80000,800,1e-05,3.14051e+06
55000,90000,800,1e-05,2.72195e+06
60000,10000,800,1e-05,6e+06
60000,20000,800,1e-05,5.66177e+06
60000,30000,800,1e-05,5.32355e+06
60000,40000,800,1e-05,4.98532e+06
60000,50000,990,1.9e-05,4.64709e+06
60000,60000,990,1.9e-05,4.25562e+06
60000,70000,990,1.9e-05,3.77117e+06
60000,80000,990,1.9e-05,3.28673e+06
60000,90000,800,1e-05,2.80228e+06
65000,10000,800,1e-05,6e+06
65000,20000,800,1e-05,5.66177e+06
65000,30000,800,1e-05,5.32355e+06
65000,40000,800,1e-05,4.98532e+06
65000,50000,800,1e-05,4.64709e+06
65000,60000,990,1.9e-05,4.30887e+06
65000,70000,990,1.9e-05,3.91739e+06
65000,80000,990,1.9e-05,3.43295e+06
65000,90000,990,1.9e-05,2.9485e+06
70000,10000,800,1e-05,6e+06
70000,20000,800,1e-05,5.66177e+06
70000,30000,800,1e-05,5.32355e+06
70000,40000,800,1e-05,4.98532e+06
70000,50000,800,1e-05,4.64709e+06
70000,60000,800,1e-05,4.30887e+06
70000,70000,990,1.9e-05,3.97064e+06
70000,80000,990,1.9e-05,3.57917e+06
70000,90000,990,1.9e-05,3.09472e+06
75000,10000,800,1e-05,6e+06
75000,20000,800,1e-05,5.66177e+06
75000,30000,800,1e-05,5.32355e+06
75000,40000,800,1e-05,4.98532e+06
75000,50000,800,1e-05,4.64709e+06
75000,60000,800,1e-05,4.30887e+06
75000,70000,800,1e-05,3.97064e+06
75000,80000,990,1.9e-05,3.63241e+06
75000,90000,990,1.9e-05,3.24094e+06
80000,10000,800,1e-05,6e+06
80000,20000,800,1e-05,5.66177e+06
80000,30000,800,1e-05,5.32355e+06
80000,40000,800,1e-05,4.98532e+06
80000,50000,800,1e-05,4.64709e+06
80000,60000,800,1e-05,4.30887e+06
80000,70000,800,1e-05,3.97064e+06
80000,80000,800,1e-05,3.63241e+06
